seq1	>ref-NC_001874.1 Rhopalosiphum padi virus, complete genome-table6-Dicistroviridae-HMM1600-2142_23.0-ORF78
seq464	>tsa-GBMU01002718.1 (REVERSE SENSE) TSA: Stephanus serrator C107263_a_3_0_l_590 transcribed RNA sequence-table4-Dicistroviridae-HMM68-191_62.0-ORF10
seq465	>tsa-GAXR01000220.1 TSA: Stigmatomma oregonense comp190_c1_seq1 transcribed RNA sequence-table4-Dicistroviridae-HMM2-103_98.0-ORF4
seq466	>tsa-GAXR01008332.1 TSA: Stigmatomma oregonense comp7331_c0_seq1 transcribed RNA sequence-table4-Dicistroviridae-HMM3-142_96.0-ORF7
seq467	>tsa-GAXR01027179.1 (REVERSE SENSE) TSA: Stigmatomma oregonense comp11745_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM489-984_47.0-ORF102
seq468	>tsa-GAXR01027180.1 (REVERSE SENSE) TSA: Stigmatomma oregonense comp11745_c0_seq2 transcribed RNA sequence-table6-Dicistroviridae-HMM489-984_47.0-ORF100
seq469	>tsa-GAXR01027181.1 (REVERSE SENSE) TSA: Stigmatomma oregonense comp11745_c0_seq3 transcribed RNA sequence-table4-Dicistroviridae-HMM489-807_39.0-ORF50
seq470	>tsa-GAXR01033522.1 (REVERSE SENSE) TSA: Stigmatomma oregonense comp46259_c0_seq1 transcribed RNA sequence-table4-Dicistroviridae-HMM15-148_69.0-ORF17
seq471	>tsa-GAXR01041552.1 (REVERSE SENSE) TSA: Stigmatomma oregonense comp89358_c0_seq1 transcribed RNA sequence-table4-Dicistroviridae-HMM2-89_95.0-ORF10
seq472	>tsa-GESX01025599.1 TSA: Swertia japonica Unigene34392 transcribed RNA sequence-table4-Dicistroviridae-HMM4-76_93.0-ORF4
seq473	>tsa-GFRZ01122902.1 TSA: Symsagittifera roscoffensis TRINITY_DN106540_c4_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM5-425_96.0-ORF15
seq474	>tsa-GFRZ01144052.1 (REVERSE SENSE) TSA: Symsagittifera roscoffensis TRINITY_DN114262_c0_g1_i2 transcribed RNA sequence-table4-Dicistroviridae-HMM4-277_96.0-ORF18
seq475	>tsa-GFRZ01314637.1 TSA: Symsagittifera roscoffensis TRINITY_DN169758_c0_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM20-97_73.0-ORF3
seq476	>tsa-GBBP01093735.1 TSA: Teleopsis dalmanni Td_comp160920_c0_seq1 transcribed RNA sequence-table6-Dicistroviridae-HMM942-1472_35.0-ORF74
seq477	>tsa-GCHA01008657.1 TSA: Tigriopus japonicus TJ_CDS_08658 transcribed RNA sequence-table4-Dicistroviridae-HMM465-980_52.0-ORF23
seq478	>tsa-GCHA01013018.1 TSA: Tigriopus japonicus TJ_CDS_13019 transcribed RNA sequence-table4-Dicistroviridae-HMM299-814_62.0-ORF20
seq479	>tsa-GCHA01013019.1 TSA: Tigriopus japonicus TJ_CDS_13020 transcribed RNA sequence-table4-Dicistroviridae-HMM2-304_96.0-ORF6
seq480	>tsa-GACZ01000156.1 (REVERSE SENSE) TSA: Tipula maxima contig00156 mRNA sequence-table4-Dicistroviridae-HMM311-559_44.0-ORF44
seq481	>tsa-GEZE01034691.1 (REVERSE SENSE) TSA: Trapa bispinosa c26170_g1_i1 transcribed RNA sequence-table4-Dicistroviridae-HMM1124-1609_29.0-ORF161
seq482	>tsa-GBBI01000476.1 TSA: Triatoma infestans Ti-121828 mRNA sequence-table4-Dicistroviridae-HMM1266-1761_27.0-ORF67
seq483	>tsa-GFMC01000030.1 TSA: Triatoma infestans TINF_contig00086 transcribed RNA sequence-table4-Dicistroviridae-HMM111-292_61.0-ORF10
seq484	>tsa-GFOA01003513.1 TSA: Bactrocera bryoniae TR2547_c1_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM13-75_82.0-ORF3
seq485	>tsa-GAPL01024116.1 (REVERSE SENSE) TSA: Sitobion avenae aphid_rep_c23045 transcribed RNA sequence-table6-Dicistroviridae-HMM35-268_80.0-ORF23
seq486	>tsa-GAPL01027122.1 TSA: Sitobion avenae aphid_s54501 transcribed RNA sequence-table6-Dicistroviridae-HMM4-165_96.0-ORF6
seq487	>tsa-GFBA01002745.1 (REVERSE SENSE) TSA: Tupiocoris notatus TR1218_c0_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM9-180_65.0-ORF15
seq488	>tsa-GFTX01023452.1 (REVERSE SENSE) TSA: Ulva lactuca c24560_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM2-71_95.0-ORF8
seq489	>tsa-GFTX01083511.1 (REVERSE SENSE) TSA: Ulva lactuca c35660_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-347_99.0-ORF19
seq490	>tsa-GFTX01104968.1 (REVERSE SENSE) TSA: Ulva lactuca c58393_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM3-153_52.0-ORF16
seq491	>tsa-GFUR01023410.1 (REVERSE SENSE) TSA: Ulva lactuca c21581_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM2-71_95.0-ORF8
seq492	>tsa-GFUR01060948.1 (REVERSE SENSE) TSA: Ulva lactuca c28199_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1252-1750_27.0-ORF161
seq493	>tsa-GFUR01069611.1 TSA: Ulva lactuca c37157_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-232_99.0-ORF6
seq494	>tsa-GFUR01079680.1 (REVERSE SENSE) TSA: Ulva lactuca c47619_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM1-117_99.0-ORF10
seq495	>tsa-GAUO02004830.1 (REVERSE SENSE) TSA: Velia caprai C55284_a_3_0_l_267 transcribed RNA sequence-table6-Dicistroviridae-HMM2-88_97.0-ORF8
seq496	>tsa-GBQS01018898.1 (REVERSE SENSE) TSA: Vespa crabro C169268_a_36_0_l_8456 transcribed RNA sequence-table6-Dicistroviridae-HMM1115-1632_30.0-ORF162
seq497	>tsa-GBXI01004087.1 TSA: Bactrocera cucurbitae c21934_g1_i1 transcribed RNA sequence-table6-Dicistroviridae-HMM496-1024_51.0-ORF37
seq498	>tsa-GAYA02046770.1 (REVERSE SENSE) TSA: Zorotypus caudelli s3162_L_3735_0_a_76_4_l_5163 transcribed RNA sequence-table6-Dicistroviridae-HMM211-709_63.0-ORF78
seq499	>tsa-GAYA02046773.1 (REVERSE SENSE) TSA: Zorotypus caudelli s3165_L_3735_3_a_83_8_l_4436 transcribed RNA sequence-table6-Dicistroviridae-HMM1-466_85.0-ORF63
seq500	>tsa-GAYA02046774.1 (REVERSE SENSE) TSA: Zorotypus caudelli s3166_L_3735_4_a_96_0_l_3534 transcribed RNA sequence-table6-Dicistroviridae-HMM11-166_64.0-ORF47
