seq1	>ref-NC_002797.1 Discula destructiva virus 1 segment 1, complete genome-table6-Partitiviridae-HMM91-516_71.0-ORF20
seq494	>tsa-GDCO01074586.1 TSA: Halyomorpha halys Hhalys_USDA-ARS_IIBBL.74586 transcribed RNA sequence-table6-Partitiviridae-HMM178-487_50.0-ORF20
seq495	>tsa-GEDY01020021.1 (REVERSE SENSE) TSA: Halyomorpha halys bmsbwbcontig22289 transcribed RNA sequence-table1-Partitiviridae-HMM2-172_94.0-ORF18
seq496	>tsa-GEWS01000306.1 (REVERSE SENSE) TSA: Helianthus niveus Controltranscript306 transcribed RNA sequence-table4-Partitiviridae-HMM180-417_45.0-ORF42
seq497	>tsa-GEWS01000307.1 (REVERSE SENSE) TSA: Helianthus niveus Controltranscript307 transcribed RNA sequence-table4-Partitiviridae-HMM3-90_42.0-ORF15
seq498	>tsa-GEWS01000310.1 TSA: Helianthus niveus Controltranscript310 transcribed RNA sequence-table4-Partitiviridae-HMM180-425_51.0-ORF14
seq499	>tsa-GEWS01000311.1 TSA: Helianthus niveus Controltranscript311 transcribed RNA sequence-table6-Partitiviridae-HMM21-94_37.0-ORF5
seq500	>tsa-GEWS01045045.1 TSA: Helianthus niveus Sampletranscript1863 transcribed RNA sequence-table4-Partitiviridae-HMM51-272_55.0-ORF25
seq501	>tsa-GBNZ01011604.1 (REVERSE SENSE) TSA: Heterodontonyx sp. AD-2014 C73834_a_12_0_l_2178 transcribed RNA sequence-table4-Partitiviridae-HMM59-236_65.0-ORF46
seq502	>tsa-GAAW01114021.1 (REVERSE SENSE) TSA: Humulus lupulus comp673625_c0_seq1 mRNA sequence-table1-Partitiviridae-HMM113-251_53.0-ORF19
seq503	>tsa-GAAW01122684.1 (REVERSE SENSE) TSA: Humulus lupulus comp816777_c0_seq1 mRNA sequence-table1-Partitiviridae-HMM1-103_93.0-ORF8
seq504	>tsa-GAAW01134408.1 (REVERSE SENSE) TSA: Humulus lupulus comp1125303_c0_seq1 mRNA sequence-table1-Partitiviridae-HMM12-159_92.0-ORF13
seq505	>tsa-GAVM02001262.1 TSA: Hydroptila sp. AD-2013 C104600_a_60_0_l_1757 transcribed RNA sequence-table6-Partitiviridae-HMM169-455_48.0-ORF18
seq506	>tsa-GAVM02012865.1 TSA: Hydroptila sp. AD-2013 C81071_a_7_0_l_494 transcribed RNA sequence-table1-Partitiviridae-HMM15-160_88.0-ORF4
seq507	>tsa-GAVM02015799.1 TSA: Hydroptila sp. AD-2013 C92435_a_7_0_l_828 transcribed RNA sequence-table1-Partitiviridae-HMM140-271_47.0-ORF9
seq508	>tsa-GARR01001896.1 TSA: Isatis tinctoria Isatis_indigotica_Unigene_1896 transcribed RNA sequence-table6-Partitiviridae-HMM74-489_79.0-ORF15
seq509	>tsa-GDAU01016317.1 (REVERSE SENSE) TSA: Isatis tinctoria IsiSA16317 transcribed RNA sequence-table6-Partitiviridae-HMM80-495_78.0-ORF45
seq510	>tsa-GBPY01022075.1 TSA: Isodontia mexicana C92343_a_8_0_l_757 transcribed RNA sequence-table6-Partitiviridae-HMM15-187_68.0-ORF7
seq511	>tsa-GBDY01026783.1 TSA: Kerria lacca L_19335_T_1/1_C_1.000_L_1249 transcribed RNA sequence-table1-Partitiviridae-HMM54-415_86.0-ORF13
seq512	>tsa-GBPT01017411.1 TSA: Lasioglossum xanthopus s1767_L_1969_2_a_56_0_l_1619 transcribed RNA sequence-table1-Partitiviridae-HMM189-538_64.0-ORF16
seq513	>tsa-GBSS01026272.1 TSA: Lathyrus sativus a125294_35 transcribed RNA sequence-table6-Partitiviridae-HMM64-470_78.0-ORF17
seq514	>tsa-GAZB02010109.1 (REVERSE SENSE) TSA: Lepicerus sp. AD-2013 C260345_a_5_0_l_236 transcribed RNA sequence-table1-Partitiviridae-HMM1-75_94.0-ORF7
seq515	>tsa-GAZB02067329.1 (REVERSE SENSE) TSA: Lepicerus sp. AD-2013 C449484_a_64_0_l_2307 transcribed RNA sequence-table4-Partitiviridae-HMM156-635_64.0-ORF67
seq516	>tsa-GAZB02087872.1 TSA: Lepicerus sp. AD-2013 s28348_L_97922_0_a_22_4_l_1602 transcribed RNA sequence-table6-Partitiviridae-HMM116-404_54.0-ORF17
seq517	>tsa-GEEF01024392.1 (REVERSE SENSE) TSA: Leptinotarsa decemlineata comp78582_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM11-66_79.0-ORF9
seq518	>tsa-GEEF01141635.1 TSA: Leptinotarsa decemlineata comp116437_c1_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM27-191_75.0-ORF22
seq519	>tsa-GEEF01141636.1 TSA: Leptinotarsa decemlineata comp116437_c1_seq2 transcribed RNA sequence-table6-Partitiviridae-HMM27-191_75.0-ORF23
seq520	>tsa-GAJA01013891.1 TSA: Leptopilina boulardi comp18036_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM9-404_95.0-ORF11
seq521	>tsa-GAJC01005228.1 (REVERSE SENSE) TSA: Leptopilina heterotoma comp33023_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM5-301_81.0-ORF21
seq522	>tsa-GBRK01035690.1 (REVERSE SENSE) TSA: Limonium bicolor LB130303_1 transcribed RNA sequence-table6-Partitiviridae-HMM69-471_81.0-ORF43
seq523	>tsa-GBOU01009103.1 (REVERSE SENSE) TSA: Liris sp. AD-2014 C62954_a_53_0_l_1593 transcribed RNA sequence-table6-Partitiviridae-HMM71-405_62.0-ORF41
seq524	>tsa-GBMJ01010875.1 TSA: Lithurgus chrysurus C63749_a_15_0_l_727 transcribed RNA sequence-table4-Partitiviridae-HMM4-138_79.0-ORF7
seq525	>tsa-GBDZ01047539.1 (REVERSE SENSE) TSA: Locusta migratoria manilensis a224907;8 transcribed RNA sequence-table1-Partitiviridae-HMM4-88_84.0-ORF7
seq526	>tsa-GAYX01075337.1 TSA: Lolium perenne comp40913_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM482-691_20.0-ORF31
seq527	>tsa-GAYX01076418.1 (REVERSE SENSE) TSA: Lolium perenne comp42379_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM482-691_20.0-ORF63
seq528	>tsa-GFBB01006461.1 (REVERSE SENSE) TSA: Lomandra longifolia Contig_7595 transcribed RNA sequence-table6-Partitiviridae-HMM4-405_91.0-ORF36
seq529	>tsa-GEOJ01128524.1 TSA: Lophocorona astiptica TR72916-c0_g5_i1 transcribed RNA sequence-table6-Partitiviridae-HMM1-85_76.0-ORF5
seq530	>tsa-GEOJ01128525.1 (REVERSE SENSE) TSA: Lophocorona astiptica TR72916-c0_g7_i2 transcribed RNA sequence-table6-Partitiviridae-HMM90-254_64.0-ORF15
seq531	>tsa-GBOH01009360.1 (REVERSE SENSE) TSA: Masaris aegyptiacus aegyptiacus C60835_a_3_0_l_664 transcribed RNA sequence-table4-Partitiviridae-HMM17-138_75.0-ORF21
seq532	>tsa-GAFF01144675.1 (REVERSE SENSE) TSA: Medicago sativa comp74154_c0_seq1 mRNA sequence-table6-Partitiviridae-HMM71-558_76.0-ORF38
seq533	>tsa-GAFF01146954.1 (REVERSE SENSE) TSA: Medicago sativa comp329734_c0_seq1 mRNA sequence-table6-Partitiviridae-HMM70-483_78.0-ORF45
seq534	>tsa-GBQG01001447.1 (REVERSE SENSE) TSA: Megalodontes cephalotes C26965_a_3_0_l_240 transcribed RNA sequence-table1-Partitiviridae-HMM1-79_97.0-ORF8
seq535	>tsa-GELL01008991.1 (REVERSE SENSE) TSA: Megalopta genalis c25785_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM20-201_84.0-ORF15
seq536	>tsa-GCPB01014204.1 (REVERSE SENSE) TSA: Megastigmus spermotrophus contig17015 transcribed RNA sequence-table6-Partitiviridae-HMM97-483_67.0-ORF42
seq537	>tsa-GCPB01030846.1 (REVERSE SENSE) TSA: Megastigmus spermotrophus contig37663 transcribed RNA sequence-table6-Partitiviridae-HMM183-436_57.0-ORF30
seq538	>tsa-GCPB01038306.1 TSA: Megastigmus spermotrophus contig50824 transcribed RNA sequence-table1-Partitiviridae-HMM50-181_71.0-ORF7
seq539	>tsa-GCPB01049069.1 TSA: Megastigmus spermotrophus contig83006 transcribed RNA sequence-table1-Partitiviridae-HMM62-339_79.0-ORF14
seq540	>tsa-GCPB01054145.1 (REVERSE SENSE) TSA: Megastigmus spermotrophus contig97944 transcribed RNA sequence-table1-Partitiviridae-HMM77-332_75.0-ORF32
seq541	>tsa-GCPB01063986.1 TSA: Megastigmus spermotrophus contig143874 transcribed RNA sequence-table1-Partitiviridae-HMM51-191_72.0-ORF7
seq542	>tsa-GCPB01079292.1 (REVERSE SENSE) TSA: Megastigmus spermotrophus contig181859 transcribed RNA sequence-table6-Partitiviridae-HMM58-312_80.0-ORF24
seq543	>tsa-GBVK01012217.1 (REVERSE SENSE) TSA: Melitta haemorrhoidalis C66880_a_5_0_l_521 transcribed RNA sequence-table4-Partitiviridae-HMM3-167_94.0-ORF20
seq544	>tsa-GBVK01015779.1 TSA: Melitta haemorrhoidalis C78605_a_9_0_l_865 transcribed RNA sequence-table6-Partitiviridae-HMM1-221_83.0-ORF8
seq545	>tsa-GBOY01019375.1 (REVERSE SENSE) TSA: Mellinus arvensis s443_L_442_3_a_21_6_l_2074 transcribed RNA sequence-table6-Partitiviridae-HMM35-139_65.0-ORF45
seq546	>tsa-GBOK01016324.1 TSA: Meria tripunctata C224404_a_17_0_l_1458 transcribed RNA sequence-table4-Partitiviridae-HMM157-408_60.0-ORF18
seq547	>tsa-GACP01000900.1 TSA: Micropterix calthella contig00900 mRNA sequence-table6-Partitiviridae-HMM4-331_75.0-ORF13
seq548	>tsa-GACP01012427.1 (REVERSE SENSE) TSA: Micropterix calthella contig12447 mRNA sequence-table6-Partitiviridae-HMM1-188_68.0-ORF25
seq549	>tsa-GFGZ01038529.1 TSA: Milnesium tardigradum comp23275_c0_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM2-143_90.0-ORF6
seq550	>tsa-GBWQ01011146.1 TSA: Monosapyga clavicornis C84610_a_8_0_l_1496 transcribed RNA sequence-table6-Partitiviridae-HMM33-433_83.0-ORF15
seq551	>tsa-GBWQ01021357.1 (REVERSE SENSE) TSA: Monosapyga clavicornis s806_L_789_0_a_6_2_l_1128 transcribed RNA sequence-table4-Partitiviridae-HMM63-237_46.0-ORF28
seq552	>tsa-GBWQ01021368.1 (REVERSE SENSE) TSA: Monosapyga clavicornis s807_L_789_1_a_7_5_l_1393 transcribed RNA sequence-table4-Partitiviridae-HMM50-326_59.0-ORF31
seq553	>tsa-GENV01016172.1 (REVERSE SENSE) TSA: Mucuna pruriens MP16382 transcribed RNA sequence-table1-Partitiviridae-HMM7-92_91.0-ORF8
seq554	>tsa-GARN01023497.1 (REVERSE SENSE) TSA: Musca domestica comp13408_c0 transcribed RNA sequence-table6-Partitiviridae-HMM182-458_49.0-ORF41
seq555	>tsa-GDIK01003478.1 (REVERSE SENSE) TSA: Mycosphaerella eumusae comp2485_c1_seq1 transcribed RNA sequence-table4-Partitiviridae-HMM167-453_59.0-ORF34
seq556	>tsa-HADN01108504.1 (REVERSE SENSE) TSA: Nematostella vectensis, contig TR55764|c0_g1_i1, transcribed RNA sequence-table1-Partitiviridae-HMM3-107_90.0-ORF11
seq557	>tsa-GAYF02039746.1 TSA: Nilaparvata lugens s9893_L_25836_0_a_12_6_l_692 transcribed RNA sequence-table4-Partitiviridae-HMM39-149_53.0-ORF6
seq558	>tsa-GFDF01011954.1 TSA: Nyssomyia neivai Nn-33522_FR3_305-669 transcribed RNA sequence-table6-Partitiviridae-HMM114-343_62.0-ORF14
seq559	>tsa-GFDF01011955.1 TSA: Nyssomyia neivai NnSigSigP-33522_FR3_305-669 transcribed RNA sequence-table6-Partitiviridae-HMM2-220_90.0-ORF11
seq560	>tsa-GAWQ02035753.1 (REVERSE SENSE) TSA: Okanagana villosa C213213_a_9_0_l_1793 transcribed RNA sequence-table6-Partitiviridae-HMM159-449_48.0-ORF47
seq561	>tsa-GBKW01140714.1 TSA: Olea europaea OlePic_t_560865 transcribed RNA sequence-table6-Partitiviridae-HMM209-581_57.0-ORF22
seq562	>tsa-GBTD01017373.1 TSA: Oncorhynchus mykiss comp40352_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM17-124_86.0-ORF8
seq563	>tsa-GBTU01006015.1 TSA: Orasema simulatrix C54588_a_3_0_l_251 transcribed RNA sequence-table1-Partitiviridae-HMM5-81_91.0-ORF3
seq564	>tsa-GFNJ01025242.1 TSA: Oreobates cruralis Unigene220121_c0_g1_i1_Oreobates_cruralis transcribed RNA sequence-table6-Partitiviridae-HMM27-315_82.0-ORF11
seq565	>tsa-GAUJ02011957.1 TSA: Orussus abietinus C72139_a_3_0_l_649 transcribed RNA sequence-table1-Partitiviridae-HMM1-190_87.0-ORF8
seq566	>tsa-GAUJ02012845.1 TSA: Orussus abietinus C75265_a_4_0_l_753 transcribed RNA sequence-table6-Partitiviridae-HMM67-250_72.0-ORF8
seq567	>tsa-GBTS01011829.1 (REVERSE SENSE) TSA: Orussus unicolor C62873_a_4_0_l_1334 transcribed RNA sequence-table1-Partitiviridae-HMM30-432_90.0-ORF47
seq568	>tsa-GBLU01005522.1 (REVERSE SENSE) TSA: Oxybelus bipunctatus C57730_a_9_0_l_324 transcribed RNA sequence-table1-Partitiviridae-HMM10-107_89.0-ORF11
seq569	>tsa-GAOP01060839.1 TSA: Pachypsylla venusta comp109310_c2_seq2 transcribed RNA sequence-table6-Partitiviridae-HMM90-489_79.0-ORF19
seq570	>tsa-GAOP01060840.1 TSA: Pachypsylla venusta comp109310_c2_seq3 transcribed RNA sequence-table6-Partitiviridae-HMM90-489_79.0-ORF15
seq571	>tsa-GAOP01060843.1 TSA: Pachypsylla venusta comp109310_c2_seq6 transcribed RNA sequence-table6-Partitiviridae-HMM90-489_79.0-ORF18
seq572	>tsa-GEOP01050782.1 (REVERSE SENSE) TSA: Palaephatus nielseni TR52205-c0_g1_i2 transcribed RNA sequence-table1-Partitiviridae-HMM2-280_72.0-ORF32
seq573	>tsa-GDQW01140561.1 TSA: Panax ginseng c5780_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM69-534_84.0-ORF17
seq574	>tsa-GFRX01006145.1 TSA: Panax notoginseng TR100012_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM36-504_81.0-ORF17
seq575	>tsa-GFRX01140870.1 (REVERSE SENSE) TSA: Panax notoginseng TR43146_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM53-430_81.0-ORF31
seq576	>tsa-GFRX01140871.1 (REVERSE SENSE) TSA: Panax notoginseng TR43146_c0_g1_i2 transcribed RNA sequence-table6-Partitiviridae-HMM74-482_78.0-ORF35
seq577	>tsa-GFRX01155901.1 (REVERSE SENSE) TSA: Panax notoginseng TR53538_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM78-490_81.0-ORF40
seq578	>tsa-GFRX01266681.1 TSA: Panax notoginseng TR89980_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM2-477_98.0-ORF17
seq579	>tsa-GCKE01011676.1 (REVERSE SENSE) TSA: Pardosa pseudoannulata Unigene14873_F1 transcribed RNA sequence-table1-Partitiviridae-HMM2-79_70.0-ORF12
seq580	>tsa-GBXA01003559.1 TSA: Parnopes grandior C48517_a_4_0_l_240 transcribed RNA sequence-table1-Partitiviridae-HMM1-76_94.0-ORF2
seq581	>tsa-GBVU01002177.1 TSA: Pelecinus polyturator C106865_a_25_0_l_677 transcribed RNA sequence-table6-Partitiviridae-HMM60-224_72.0-ORF9
seq582	>tsa-GBVU01021115.1 TSA: Pelecinus polyturator C80961_a_6_0_l_342 transcribed RNA sequence-table1-Partitiviridae-HMM1-113_99.0-ORF3
seq583	>tsa-GFCQ01025452.1 (REVERSE SENSE) TSA: Periplaneta americana TRINITY_DN172779_c1_g1_i3 transcribed RNA sequence-table1-Partitiviridae-HMM3-139_92.0-ORF12
seq584	>tsa-GFQM01014407.1 (REVERSE SENSE) TSA: Phelipanche aegyptiaca c161178.graph_c0 transcribed RNA sequence-table6-Partitiviridae-HMM333-478_17.0-ORF76
seq585	>tsa-GFQM01025009.1 (REVERSE SENSE) TSA: Phelipanche aegyptiaca c181240.graph_c0 transcribed RNA sequence-table6-Partitiviridae-HMM72-489_79.0-ORF38
seq586	>tsa-GFQM01085914.1 (REVERSE SENSE) TSA: Phelipanche aegyptiaca c93211.graph_c0 transcribed RNA sequence-table6-Partitiviridae-HMM71-488_77.0-ORF42
seq587	>tsa-GFFQ01008364.1 (REVERSE SENSE) TSA: Phlox roemeriana Roem@c84663_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM6-73_91.0-ORF6
seq588	>tsa-GFFQ01077136.1 (REVERSE SENSE) TSA: Phlox roemeriana Roem@c65780_g1_i3 transcribed RNA sequence-table6-Partitiviridae-HMM57-525_78.0-ORF48
seq589	>tsa-GFFQ01077138.1 (REVERSE SENSE) TSA: Phlox roemeriana Roem@c65780_g1_i1 transcribed RNA sequence-table4-Partitiviridae-HMM80-540_75.0-ORF65
seq590	>tsa-GFFQ01094724.1 TSA: Phlox roemeriana Roem@c59711_g2_i1 transcribed RNA sequence-table1-Partitiviridae-HMM48-291_78.0-ORF12
seq591	>tsa-GFFQ01094725.1 (REVERSE SENSE) TSA: Phlox roemeriana Roem@c59711_g1_i2 transcribed RNA sequence-table6-Partitiviridae-HMM1-156_80.0-ORF12
seq592	>tsa-GFFQ01094726.1 (REVERSE SENSE) TSA: Phlox roemeriana Roem@c59711_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM1-162_81.0-ORF15
seq593	>tsa-GFFQ01095972.1 TSA: Phlox roemeriana Roem@c59105_g2_i1 transcribed RNA sequence-table1-Partitiviridae-HMM1-98_97.0-ORF4
seq594	>tsa-GFFQ01095973.1 TSA: Phlox roemeriana Roem@c59105_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM20-118_75.0-ORF4
seq595	>tsa-GFFQ01101807.1 TSA: Phlox roemeriana Roem@c55994_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM31-499_89.0-ORF10
seq596	>tsa-GFFQ01103144.1 TSA: Phlox roemeriana Roem@c55143_g1_i3 transcribed RNA sequence-table6-Partitiviridae-HMM9-260_77.0-ORF7
seq597	>tsa-GFFQ01103146.1 TSA: Phlox roemeriana Roem@c55143_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM9-162_90.0-ORF7
seq598	>tsa-GFFQ01119142.1 TSA: Phlox roemeriana Roem@c40544_g1_i2 transcribed RNA sequence-table1-Partitiviridae-HMM1-102_99.0-ORF3
seq599	>tsa-GFFQ01119143.1 TSA: Phlox roemeriana Roem@c40544_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM1-94_98.0-ORF2
seq600	>tsa-GFFQ01120318.1 TSA: Phlox roemeriana Roem@c39134_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM2-139_56.0-ORF7
seq601	>tsa-GFFQ01122483.1 (REVERSE SENSE) TSA: Phlox roemeriana Roem@c34893_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM1-96_60.0-ORF13
seq602	>tsa-GEZM01060430.1 (REVERSE SENSE) TSA: Photinus pyralis 151_Ppyr_v3_TRINITY_DN57689_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM1-97_96.0-ORF7
seq603	>tsa-GEZM01061712.1 (REVERSE SENSE) TSA: Photinus pyralis 151_Ppyr_v3_TRINITY_DN65978_c0_g1_i1 transcribed RNA sequence-table1-Partitiviridae-HMM3-85_93.0-ORF9
seq604	>tsa-GEZM01087949.1 TSA: Photinus pyralis 151_Ppyr_v3_TRINITY_DN10140_c0_g1_i1 transcribed RNA sequence-table6-Partitiviridae-HMM42-461_75.0-ORF17
seq605	>tsa-GACG01002434.1 (REVERSE SENSE) TSA: Picea sitchensis Ps_Contig2434 mRNA sequence-table6-Partitiviridae-HMM4-403_90.0-ORF35
seq606	>tsa-GEUZ01007877.1 TSA: Pinus lambertiana DCS1kb_1_polished_high_000441_m.449 transcribed RNA sequence-table6-Partitiviridae-HMM38-447_85.0-ORF16
seq607	>tsa-GBQX01046835.1 (REVERSE SENSE) TSA: Pinus monticola F0_contig_81646 transcribed RNA sequence-table6-Partitiviridae-HMM91-500_77.0-ORF40
seq608	>tsa-GDQD01006327.1 TSA: Pinus monticola seq6328 transcribed RNA sequence-table6-Partitiviridae-HMM38-447_85.0-ORF16
seq609	>tsa-GECO01001673.1 TSA: Pinus patula Pipt_75k_comp46305_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM1-164_63.0-ORF7
seq610	>tsa-GECO01011226.1 TSA: Pinus patula Pipt50k_comp6816_c0_seq1 transcribed RNA sequence-table6-Partitiviridae-HMM36-447_85.0-ORF18
seq611	>tsa-GFUB01137311.1 (REVERSE SENSE) TSA: Podisus maculiventris TRINITY_DN70999_c3_g1_i1 transcribed RNA sequence-table4-Partitiviridae-HMM2-134_73.0-ORF17
seq612	>tsa-GFUB01137316.1 (REVERSE SENSE) TSA: Podisus maculiventris TRINITY_DN70999_c3_g4_i1 transcribed RNA sequence-table4-Partitiviridae-HMM31-330_79.0-ORF39
seq613	>tsa-GBWR01025626.1 (REVERSE SENSE) TSA: Polistes dominula s11987_L_32172_0_a_22_0_l_1810 transcribed RNA sequence-table6-Partitiviridae-HMM169-495_55.0-ORF43
seq614	>tsa-GBWR01028781.1 TSA: Polistes dominula s3793_L_4526_0_a_7_7_l_816 transcribed RNA sequence-table6-Partitiviridae-HMM3-147_55.0-ORF9
seq615	>tsa-GBWR01028782.1 TSA: Polistes dominula s3794_L_4526_1_a_9_1_l_1451 transcribed RNA sequence-table6-Partitiviridae-HMM29-140_43.0-ORF17
seq616	>tsa-GEDB01028700.1 (REVERSE SENSE) TSA: Polistes dominula PdomTSAr1.2-029453 transcribed RNA sequence-table6-Partitiviridae-HMM30-190_52.0-ORF51
seq617	>tsa-GEDB01028863.1 TSA: Polistes dominula PdomTSAr1.2-029634 transcribed RNA sequence-table1-Partitiviridae-HMM6-219_94.0-ORF5
seq618	>tsa-GEDB01106045.1 (REVERSE SENSE) TSA: Polistes dominula PdomTSAr1.2-108170 transcribed RNA sequence-table6-Partitiviridae-HMM77-160_30.0-ORF37
seq619	>tsa-GAST02014689.1 TSA: Polyommatus icarus C151859_a_17_0_l_1490 transcribed RNA sequence-table6-Partitiviridae-HMM39-436_80.0-ORF18
seq620	>tsa-GBQI01013588.1 TSA: Prionyx kirbii C94885_a_36_0_l_3410 transcribed RNA sequence-table6-Partitiviridae-HMM56-332_64.0-ORF22
seq621	>tsa-HAES01005905.1 (REVERSE SENSE) TSA: Proasellus cavaticus, contig comp10330_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM11-134_91.0-ORF12
seq622	>tsa-HAES01044667.1 TSA: Proasellus cavaticus, contig comp57466_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM162-446_53.0-ORF14
seq623	>tsa-HAEV01085407.1 TSA: Proasellus escolai, contig comp110523_c0_seq3, transcribed RNA sequence-table6-Partitiviridae-HMM168-448_50.0-ORF16
seq624	>tsa-HAEX01017060.1 (REVERSE SENSE) TSA: Proasellus grafi, contig c18790_g1_i1, transcribed RNA sequence-table1-Partitiviridae-HMM32-177_81.0-ORF13
seq625	>tsa-HAFC01018742.1 (REVERSE SENSE) TSA: Proasellus karamani, contig comp34442_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM1-95_48.0-ORF20
seq626	>tsa-HAFC01103214.1 TSA: Proasellus karamani, contig comp417959_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM131-485_72.0-ORF15
seq627	>tsa-HAFG01089473.1 TSA: Proasellus parvulus, contig comp88939_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM180-461_52.0-ORF17
seq628	>tsa-HAFG01089474.1 TSA: Proasellus parvulus, contig comp88939_c0_seq2, transcribed RNA sequence-table1-Partitiviridae-HMM45-326_70.0-ORF13
seq629	>tsa-HAFI01001455.1 TSA: Proasellus rectus, contig comp1949_c0_seq1, transcribed RNA sequence-table4-Partitiviridae-HMM2-78_42.0-ORF6
seq630	>tsa-HAFI01106726.1 TSA: Proasellus rectus, contig comp890575_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM26-225_86.0-ORF6
seq631	>tsa-HAFJ01037582.1 (REVERSE SENSE) TSA: Proasellus solanasi, contig comp53948_c1_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM134-417_60.0-ORF33
seq632	>tsa-HAFK01039912.1 (REVERSE SENSE) TSA: Proasellus spelaeus, contig comp126449_c0_seq1, transcribed RNA sequence-table1-Partitiviridae-HMM36-318_72.0-ORF26
seq633	>tsa-GBNH01021241.1 TSA: Psenulus fuscipennis s5463_L_10371_0_a_15_4_l_3222 transcribed RNA sequence-table6-Partitiviridae-HMM187-487_36.0-ORF19
seq634	>tsa-GAVV02033236.1 (REVERSE SENSE) TSA: Pseudomallada prasinus C250535_a_8_0_l_790 transcribed RNA sequence-table6-Partitiviridae-HMM13-148_69.0-ORF17
seq635	>tsa-GAVV02038955.1 (REVERSE SENSE) TSA: Pseudomallada prasinus C270622_a_18_0_l_1690 transcribed RNA sequence-table6-Partitiviridae-HMM163-432_56.0-ORF51
seq636	>tsa-GFFY01024955.1 TSA: Pseudotsuga menziesii psme_t026260 transcribed RNA sequence-table6-Partitiviridae-HMM85-493_73.0-ORF24
seq637	>tsa-GEUS01033912.1 TSA: Quercus austrocochinchinensis comp150989_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM1-152_99.0-ORF6
seq638	>tsa-GEUS01046675.1 (REVERSE SENSE) TSA: Quercus austrocochinchinensis comp282387_c0_seq1 transcribed RNA sequence-table1-Partitiviridae-HMM17-97_82.0-ORF11
seq639	>tsa-GAYZ02000787.1 TSA: Ranatra linearis C102333_a_12_0_l_1792 transcribed RNA sequence-table4-Partitiviridae-HMM178-458_46.0-ORF19
seq640	>tsa-GEMG01025120.1 TSA: Raphanus sativus Unigene4060_NAU-LB transcribed RNA sequence-table6-Partitiviridae-HMM6-163_73.0-ORF7
seq641	>tsa-GEMG01025121.1 TSA: Raphanus sativus Unigene4061_NAU-LB transcribed RNA sequence-table4-Partitiviridae-HMM67-297_75.0-ORF13
seq642	>tsa-GEMG01038431.1 TSA: Raphanus sativus Unigene19186_NAU-LB transcribed RNA sequence-table6-Partitiviridae-HMM58-513_75.0-ORF15
seq643	>tsa-GETQ01075798.1 TSA: Rhagoletis pomonella c126344_g1_i1 transcribed RNA sequence-table4-Partitiviridae-HMM39-282_77.0-ORF10
seq644	>tsa-GAXX02014830.1 TSA: Rhyacophila fasciata C60848_a_5_0_l_248 transcribed RNA sequence-table1-Partitiviridae-HMM1-50_59.0-ORF4
seq645	>tsa-GAXX02023274.1 (REVERSE SENSE) TSA: Rhyacophila fasciata C81934_a_3_0_l_381 transcribed RNA sequence-table1-Partitiviridae-HMM1-126_99.0-ORF9
seq646	>tsa-GAXX02030913.1 TSA: Rhyacophila fasciata s1637_L_2840_0_a_3_0_l_558 transcribed RNA sequence-table1-Partitiviridae-HMM4-185_97.0-ORF6
seq647	>tsa-GFHZ01016304.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0502144 transcribed RNA sequence-table6-Partitiviridae-HMM64-525_75.0-ORF52
seq648	>tsa-GFHZ01025471.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0618185 transcribed RNA sequence-table1-Partitiviridae-HMM3-107_88.0-ORF9
