seq1	>ref-NC_004049.1 Ophiostoma mitovirus 3a, complete genome-table4-Narnaviridae-HMM157-525_50.0-ORF27
seq479	>tsa-GFRX01010299.1 (REVERSE SENSE) TSA: Panax notoginseng TR100310_c0_g2_i3 transcribed RNA sequence-table6-Narnaviridae-HMM141-364_42.0-ORF74
seq480	>tsa-GFRX01010300.1 (REVERSE SENSE) TSA: Panax notoginseng TR100310_c0_g2_i4 transcribed RNA sequence-table6-Narnaviridae-HMM135-358_43.0-ORF56
seq481	>tsa-GFRX01010302.1 (REVERSE SENSE) TSA: Panax notoginseng TR100310_c0_g2_i6 transcribed RNA sequence-table6-Narnaviridae-HMM141-364_42.0-ORF100
seq482	>tsa-GFRX01117094.1 TSA: Panax notoginseng TR23965_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM80-150_44.0-ORF6
seq483	>tsa-GFRX01168376.1 TSA: Panax notoginseng TR145199_c0_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM25-103_73.0-ORF14
seq484	>tsa-GFRX01296286.1 TSA: Panax notoginseng TR96362_c1_g2_i1 transcribed RNA sequence-table4-Narnaviridae-HMM1-105_50.0-ORF36
seq485	>tsa-GFRX01330701.1 (REVERSE SENSE) TSA: Panax notoginseng TR99738_c0_g3_i2 transcribed RNA sequence-table4-Narnaviridae-HMM132-206_25.0-ORF62
seq486	>tsa-GBWZ01004682.1 (REVERSE SENSE) TSA: Pergagrapta polita C121532_a_10_0_l_2503 transcribed RNA sequence-table6-Narnaviridae-HMM233-495_31.0-ORF49
seq487	>tsa-GALN01140009.1 (REVERSE SENSE) TSA: Persicaria minor PMT0000161866 transcribed RNA sequence-table4-Narnaviridae-HMM42-163_73.0-ORF17
seq488	>tsa-GCJZ01168429.1 TSA: Persicaria minor c63955_g1_i1 transcribed RNA sequence-table6-Narnaviridae-HMM25-95_73.0-ORF3
seq489	>tsa-GBRT01041798.1 (REVERSE SENSE) TSA: Petunia exserta Locus_22897_Transcript_1/1_Confidence_1.000_Length_2698 transcribed RNA sequence-table4-Narnaviridae-HMM417-683_31.0-ORF70
seq490	>tsa-GACM01000356.1 TSA: Phakopsora pachyrhizi Thai1 Pp_contig00138 mRNA sequence-table4-Narnaviridae-HMM144-505_51.0-ORF21
seq491	>tsa-GACM01002259.1 (REVERSE SENSE) TSA: Phakopsora pachyrhizi Thai1 Pp_contig01220 mRNA sequence-table4-Narnaviridae-HMM3-105_58.0-ORF15
seq492	>tsa-GACM01002912.1 TSA: Phakopsora pachyrhizi Thai1 Pp_contig00253 mRNA sequence-table4-Narnaviridae-HMM379-709_34.0-ORF38
seq493	>tsa-GACM01003395.1 (REVERSE SENSE) TSA: Phakopsora pachyrhizi Thai1 Pp_contig02716 mRNA sequence-table4-Narnaviridae-HMM227-563_49.0-ORF57
seq494	>tsa-GDHJ01001921.1 TSA: Phalaenopsis equestris c4158_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM88-161_38.0-ORF17
seq495	>tsa-GAMK01078354.1 (REVERSE SENSE) TSA: Phaseolus vulgaris Ref_259_comp24881_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM50-227_77.0-ORF179
seq496	>tsa-GAMK01086380.1 TSA: Phaseolus vulgaris Ref_259_comp16069_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM50-120_46.0-ORF45
seq497	>tsa-GAMK01119800.1 (REVERSE SENSE) TSA: Phaseolus vulgaris Ref_25_comp2139_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM50-120_46.0-ORF204
seq498	>tsa-GFQM01054725.1 (REVERSE SENSE) TSA: Phelipanche aegyptiaca c212757.graph_c0 transcribed RNA sequence-table4-Narnaviridae-HMM369-597_26.0-ORF79
seq499	>tsa-GCMF01018838.1 (REVERSE SENSE) TSA: Pisum sativum Ps_107813 transcribed RNA sequence-table1-Narnaviridae-HMM5-75_56.0-ORF9
seq500	>tsa-GEZC01162349.1 (REVERSE SENSE) TSA: Pisum sativum comp92091_c10_seq3 transcribed RNA sequence-table6-Narnaviridae-HMM40-113_42.0-ORF22
seq501	>tsa-GBPX01007611.1 TSA: Podalonia hirsuta C76195_a_4_0_l_434 transcribed RNA sequence-table1-Narnaviridae-HMM3-141_95.0-ORF7
seq502	>tsa-GEUO01000441.1 (REVERSE SENSE) TSA: Podosphaera xanthii Contig4987 transcribed RNA sequence-table4-Narnaviridae-HMM139-502_49.0-ORF81
seq503	>tsa-GEUO01000482.1 TSA: Podosphaera xanthii Contig4065 transcribed RNA sequence-table4-Narnaviridae-HMM138-504_50.0-ORF31
seq504	>tsa-GEUO01000524.1 (REVERSE SENSE) TSA: Podosphaera xanthii Contig3612 transcribed RNA sequence-table4-Narnaviridae-HMM2-264_65.0-ORF78
seq505	>tsa-GEUO01000752.1 TSA: Podosphaera xanthii Contig3168 transcribed RNA sequence-table4-Narnaviridae-HMM144-501_49.0-ORF28
seq506	>tsa-GEUO01000770.1 (REVERSE SENSE) TSA: Podosphaera xanthii Contig3207 transcribed RNA sequence-table6-Narnaviridae-HMM212-444_29.0-ORF55
seq507	>tsa-GEUO01000971.1 (REVERSE SENSE) TSA: Podosphaera xanthii Contig8171 transcribed RNA sequence-table4-Narnaviridae-HMM349-472_22.0-ORF72
seq508	>tsa-GEUO01001504.1 (REVERSE SENSE) TSA: Podosphaera xanthii Contig8947 transcribed RNA sequence-table4-Narnaviridae-HMM189-397_31.0-ORF47
seq509	>tsa-GEUO01005286.1 TSA: Podosphaera xanthii Contig6571 transcribed RNA sequence-table4-Narnaviridae-HMM129-374_64.0-ORF16
seq510	>tsa-GEUO01008622.1 TSA: Podosphaera xanthii 11939_euler transcribed RNA sequence-table1-Narnaviridae-HMM46-245_61.0-ORF12
seq511	>tsa-GEUO01009516.1 TSA: Podosphaera xanthii Pfusca_clean_rep_c30243_mira transcribed RNA sequence-table6-Narnaviridae-HMM119-189_36.0-ORF11
seq512	>tsa-GEUO01011584.1 (REVERSE SENSE) TSA: Podosphaera xanthii Pfusca_clean_c9270_mira transcribed RNA sequence-table4-Narnaviridae-HMM7-254_88.0-ORF29
seq513	>tsa-GEUO01012756.1 TSA: Podosphaera xanthii Pfusca_clean_c12918_mira transcribed RNA sequence-table4-Narnaviridae-HMM2-100_38.0-ORF11
seq514	>tsa-GEHP01059035.1 TSA: Porites astreoides TR56356_c0_g1_i1 transcribed RNA sequence-table1-Narnaviridae-HMM3-95_96.0-ORF4
seq515	>tsa-HAER01050401.1 TSA: Proasellus cantabricus, contig c42047_g1_i1, transcribed RNA sequence-table1-Narnaviridae-HMM87-203_56.0-ORF6
seq516	>tsa-HAFC01035985.1 (REVERSE SENSE) TSA: Proasellus karamani, contig comp56159_c0_seq1, transcribed RNA sequence-table4-Narnaviridae-HMM5-78_86.0-ORF9
seq517	>tsa-HAFC01044388.1 TSA: Proasellus karamani, contig comp63585_c0_seq1, transcribed RNA sequence-table1-Narnaviridae-HMM3-121_90.0-ORF5
seq518	>tsa-HAFC01092190.1 TSA: Proasellus karamani, contig comp145756_c0_seq1, transcribed RNA sequence-table6-Narnaviridae-HMM392-660_26.0-ORF34
seq519	>tsa-HAFD01068891.1 (REVERSE SENSE) TSA: Proasellus margalefi, contig comp115901_c0_seq1, transcribed RNA sequence-table1-Narnaviridae-HMM11-85_85.0-ORF7
seq520	>tsa-GAOO01000025.1 (REVERSE SENSE) TSA: Prosopis alba contig03260 transcribed RNA sequence-table6-Narnaviridae-HMM384-602_30.0-ORF72
seq521	>tsa-GAOO01000111.1 (REVERSE SENSE) TSA: Prosopis alba isotig00081 transcribed RNA sequence-table4-Narnaviridae-HMM39-105_49.0-ORF77
seq522	>tsa-GAOO01019987.1 (REVERSE SENSE) TSA: Prosopis alba GR7D2IN01A9NGR transcribed RNA sequence-table6-Narnaviridae-HMM23-104_77.0-ORF14
seq523	>tsa-GAOO01040576.1 TSA: Prosopis alba GR7D2IN02H6GOU transcribed RNA sequence-table1-Narnaviridae-HMM57-161_63.0-ORF6
seq524	>tsa-GAOO01046898.1 TSA: Prosopis alba GR7D2IN02GP61V transcribed RNA sequence-table1-Narnaviridae-HMM1-134_83.0-ORF6
seq525	>tsa-GAOO01047483.1 (REVERSE SENSE) TSA: Prosopis alba GR7D2IN02GRRBS transcribed RNA sequence-table1-Narnaviridae-HMM41-149_63.0-ORF12
seq526	>tsa-GFOW01005877.1 TSA: Prosopis cineraria CDS_5877 transcribed RNA sequence-table6-Narnaviridae-HMM87-166_44.0-ORF6
seq527	>tsa-GFOW01005878.1 TSA: Prosopis cineraria CDS_5878 transcribed RNA sequence-table4-Narnaviridae-HMM87-160_45.0-ORF9
seq528	>tsa-GFOW01008357.1 TSA: Prosopis cineraria CDS_8357 transcribed RNA sequence-table4-Narnaviridae-HMM1-95_94.0-ORF5
seq529	>tsa-GFOW01049567.1 TSA: Prosopis cineraria CDS_49567 transcribed RNA sequence-table6-Narnaviridae-HMM1-209_50.0-ORF16
seq530	>tsa-GFOW01049568.1 TSA: Prosopis cineraria CDS_49568 transcribed RNA sequence-table6-Narnaviridae-HMM4-130_38.0-ORF12
seq531	>tsa-GFOW01049569.1 TSA: Prosopis cineraria CDS_49569 transcribed RNA sequence-table6-Narnaviridae-HMM254-501_35.0-ORF25
seq532	>tsa-GEAB01124828.1 (REVERSE SENSE) TSA: Psammomys obesus comp48527_c0_seq1_1984 transcribed RNA sequence-table1-Narnaviridae-HMM394-502_16.0-ORF55
seq533	>tsa-GAIR01006605.1 (REVERSE SENSE) TSA: Puccinia striiformis f. sp. tritici PST79_12487 transcribed RNA sequence-table4-Narnaviridae-HMM15-175_62.0-ORF21
seq534	>tsa-GAIR01011702.1 (REVERSE SENSE) TSA: Puccinia striiformis f. sp. tritici PST79_1786 transcribed RNA sequence-table6-Narnaviridae-HMM476-651_25.0-ORF37
seq535	>tsa-GAIR01011807.1 TSA: Puccinia striiformis f. sp. tritici PST79_6266 transcribed RNA sequence-table6-Narnaviridae-HMM247-439_26.0-ORF16
seq536	>tsa-GAIR01011996.1 TSA: Puccinia striiformis f. sp. tritici PST79_3217 transcribed RNA sequence-table4-Narnaviridae-HMM154-527_50.0-ORF33
seq537	>tsa-GAIS01003025.1 TSA: Puccinia striiformis f. sp. tritici Hcontig_6513 transcribed RNA sequence-table1-Narnaviridae-HMM9-143_62.0-ORF8
seq538	>tsa-GAIS01005489.1 TSA: Puccinia striiformis f. sp. tritici Hcontig_4005 transcribed RNA sequence-table6-Narnaviridae-HMM439-614_27.0-ORF18
seq539	>tsa-GAIS01006180.1 TSA: Puccinia striiformis f. sp. tritici Hcontig_3343 transcribed RNA sequence-table4-Narnaviridae-HMM154-407_59.0-ORF22
seq540	>tsa-GAIY01004929.1 (REVERSE SENSE) TSA: Puccinia striiformis f. sp. tritici Scontig_927 transcribed RNA sequence-table4-Narnaviridae-HMM15-175_62.0-ORF21
seq541	>tsa-GAIY01006637.1 (REVERSE SENSE) TSA: Puccinia striiformis f. sp. tritici Scontig_3021 transcribed RNA sequence-table1-Narnaviridae-HMM185-361_45.0-ORF38
seq542	>tsa-GAIY01007731.1 TSA: Puccinia striiformis f. sp. tritici Scontig_2194 transcribed RNA sequence-table6-Narnaviridae-HMM247-439_26.0-ORF16
seq543	>tsa-GACE01095201.1 TSA: Rauvolfia serpentina rsa71495_iso1 mRNA sequence-table6-Narnaviridae-HMM15-72_39.0-ORF4
seq544	>tsa-GDUK01007882.1 (REVERSE SENSE) TSA: Rhizopus oryzae KNUBEL_RO_007903 transcribed RNA sequence-table4-Narnaviridae-HMM359-574_26.0-ORF39
seq545	>tsa-GDUK01014407.1 (REVERSE SENSE) TSA: Rhizopus oryzae KNUBEL_RO_014444 transcribed RNA sequence-table6-Narnaviridae-HMM299-522_25.0-ORF54
seq546	>tsa-GFHZ01008637.1 TSA: Saccharum SUG_denovo_0432754 transcribed RNA sequence-table1-Narnaviridae-HMM31-196_61.0-ORF10
seq547	>tsa-GFHZ01010844.1 TSA: Saccharum SUG_denovo_0445052 transcribed RNA sequence-table1-Narnaviridae-HMM12-149_70.0-ORF8
seq548	>tsa-GFHZ01013084.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0461223 transcribed RNA sequence-table4-Narnaviridae-HMM226-436_28.0-ORF32
seq549	>tsa-GFHZ01017780.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0525616 transcribed RNA sequence-table1-Narnaviridae-HMM204-409_48.0-ORF35
seq550	>tsa-GFHZ01019524.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0556108 transcribed RNA sequence-table6-Narnaviridae-HMM134-357_36.0-ORF40
seq551	>tsa-GFHZ01046971.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0179006 transcribed RNA sequence-table1-Narnaviridae-HMM88-230_61.0-ORF19
seq552	>tsa-GFHZ01053829.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0321797 transcribed RNA sequence-table4-Narnaviridae-HMM3-219_41.0-ORF34
seq553	>tsa-GFHZ01053830.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0322501 transcribed RNA sequence-table4-Narnaviridae-HMM197-398_31.0-ORF39
seq554	>tsa-GFHZ01053831.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0323827 transcribed RNA sequence-table4-Narnaviridae-HMM348-573_26.0-ORF55
seq555	>tsa-GFHZ01060312.1 TSA: Saccharum SUG_denovo_0605182 transcribed RNA sequence-table1-Narnaviridae-HMM178-339_46.0-ORF10
seq556	>tsa-GFHZ01073629.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0302063 transcribed RNA sequence-table1-Narnaviridae-HMM77-223_61.0-ORF17
seq557	>tsa-GFHZ01073630.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0357635 transcribed RNA sequence-table1-Narnaviridae-HMM2-148_76.0-ORF18
seq558	>tsa-GFHZ01080412.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0007924 transcribed RNA sequence-table4-Narnaviridae-HMM203-398_27.0-ORF40
seq559	>tsa-GFHZ01099857.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0063813 transcribed RNA sequence-table4-Narnaviridae-HMM245-437_28.0-ORF61
seq560	>tsa-GFHZ01107707.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0126445 transcribed RNA sequence-table1-Narnaviridae-HMM4-131_94.0-ORF11
seq561	>tsa-GFHZ01113187.1 TSA: Saccharum SUG_denovo_0290249 transcribed RNA sequence-table4-Narnaviridae-HMM2-193_37.0-ORF11
seq562	>tsa-GFHZ01113188.1 TSA: Saccharum SUG_denovo_0298683 transcribed RNA sequence-table4-Narnaviridae-HMM125-334_36.0-ORF16
seq563	>tsa-GFHZ01113189.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0307166 transcribed RNA sequence-table1-Narnaviridae-HMM116-303_59.0-ORF31
seq564	>tsa-GFHZ01113194.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0293000 transcribed RNA sequence-table1-Narnaviridae-HMM100-407_48.0-ORF51
seq565	>tsa-GFHZ01113203.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0306506 transcribed RNA sequence-table6-Narnaviridae-HMM234-436_31.0-ORF44
seq566	>tsa-GFHZ01113205.1 (REVERSE SENSE) TSA: Saccharum SUG_denovo_0307555 transcribed RNA sequence-table4-Narnaviridae-HMM447-727_28.0-ORF104
seq567	>tsa-GFLP01009429.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0007924 transcribed RNA sequence-table4-Narnaviridae-HMM203-398_27.0-ORF40
seq568	>tsa-GFLP01012267.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0010839 transcribed RNA sequence-table6-Narnaviridae-HMM176-430_35.0-ORF39
seq569	>tsa-GFLP01013091.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0011696 transcribed RNA sequence-table4-Narnaviridae-HMM164-460_63.0-ORF47
seq570	>tsa-GFLP01064571.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0063813 transcribed RNA sequence-table4-Narnaviridae-HMM245-437_28.0-ORF61
seq571	>tsa-GFLP01126824.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0126445 transcribed RNA sequence-table1-Narnaviridae-HMM4-131_94.0-ORF11
seq572	>tsa-GFLP01154617.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0154366 transcribed RNA sequence-table1-Narnaviridae-HMM5-193_80.0-ORF27
seq573	>tsa-GFLP01158394.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0158162 transcribed RNA sequence-table1-Narnaviridae-HMM52-269_80.0-ORF29
seq574	>tsa-GFLP01179157.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0179006 transcribed RNA sequence-table1-Narnaviridae-HMM88-230_61.0-ORF19
seq575	>tsa-GFLP01182495.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0182354 transcribed RNA sequence-table1-Narnaviridae-HMM119-241_47.0-ORF28
seq576	>tsa-GFLP01201121.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0201048 transcribed RNA sequence-table6-Narnaviridae-HMM43-244_68.0-ORF20
seq577	>tsa-GFLP01289678.1 TSA: Saccharum hybrid cultivar SUGdenovo-0290249 transcribed RNA sequence-table4-Narnaviridae-HMM2-193_37.0-ORF11
seq578	>tsa-GFLP01291748.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0292455 transcribed RNA sequence-table4-Narnaviridae-HMM8-160_95.0-ORF16
seq579	>tsa-GFLP01292254.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0293000 transcribed RNA sequence-table1-Narnaviridae-HMM100-407_48.0-ORF51
seq580	>tsa-GFLP01297464.1 TSA: Saccharum hybrid cultivar SUGdenovo-0298683 transcribed RNA sequence-table4-Narnaviridae-HMM125-334_36.0-ORF16
seq581	>tsa-GFLP01300489.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0302063 transcribed RNA sequence-table1-Narnaviridae-HMM77-223_61.0-ORF17
seq582	>tsa-GFLP01304447.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0306506 transcribed RNA sequence-table6-Narnaviridae-HMM234-436_31.0-ORF44
seq583	>tsa-GFLP01305043.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0307163 transcribed RNA sequence-table1-Narnaviridae-HMM2-138_96.0-ORF13
seq584	>tsa-GFLP01305045.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0307166 transcribed RNA sequence-table1-Narnaviridae-HMM116-303_59.0-ORF31
seq585	>tsa-GFLP01305282.1 TSA: Saccharum hybrid cultivar SUGdenovo-0307437 transcribed RNA sequence-table4-Narnaviridae-HMM1-153_98.0-ORF6
seq586	>tsa-GFLP01305385.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0307555 transcribed RNA sequence-table4-Narnaviridae-HMM447-727_28.0-ORF104
seq587	>tsa-GFLP01307502.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0309906 transcribed RNA sequence-table4-Narnaviridae-HMM45-283_82.0-ORF31
seq588	>tsa-GFLP01318777.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0321797 transcribed RNA sequence-table4-Narnaviridae-HMM3-219_41.0-ORF34
seq589	>tsa-GFLP01319462.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0322501 transcribed RNA sequence-table4-Narnaviridae-HMM197-398_31.0-ORF39
seq590	>tsa-GFLP01320750.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0323827 transcribed RNA sequence-table4-Narnaviridae-HMM348-573_26.0-ORF55
seq591	>tsa-GFLP01350959.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0357635 transcribed RNA sequence-table1-Narnaviridae-HMM2-148_76.0-ORF18
seq592	>tsa-GFLP01354601.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0361724 transcribed RNA sequence-table4-Narnaviridae-HMM2-125_93.0-ORF14
seq593	>tsa-GFLP01359965.1 TSA: Saccharum hybrid cultivar SUGdenovo-0367625 transcribed RNA sequence-table4-Narnaviridae-HMM4-128_96.0-ORF3
seq594	>tsa-GFLP01421777.1 TSA: Saccharum hybrid cultivar SUGdenovo-0432754 transcribed RNA sequence-table1-Narnaviridae-HMM31-196_61.0-ORF10
seq595	>tsa-GFLP01434001.1 TSA: Saccharum hybrid cultivar SUGdenovo-0445052 transcribed RNA sequence-table1-Narnaviridae-HMM12-149_70.0-ORF8
seq596	>tsa-GFLP01450151.1 (REVERSE SENSE) TSA: Saccharum hybrid cultivar SUGdenovo-0461223 transcribed RNA sequence-table4-Narnaviridae-HMM226-436_28.0-ORF32
seq597	>tsa-GEYA01070711.1 TSA: Salix integra comp92875_c0 transcribed RNA sequence-table6-Narnaviridae-HMM216-425_28.0-ORF22
seq598	>tsa-GEEJ01014178.1 TSA: Acrostichum speciosum Asp_c5647_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM67-181_38.0-ORF12
seq599	>tsa-GEMY01012511.1 (REVERSE SENSE) TSA: Alternaria sp. MG1 c4225.graph_c0 transcribed RNA sequence-table4-Narnaviridae-HMM1-96_98.0-ORF11
seq600	>tsa-GEER01055200.1 TSA: Camellia reticulata CRD_FB_c19427_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM8-90_82.0-ORF6
seq601	>tsa-GFTL01092359.1 (REVERSE SENSE) TSA: Carya illinoinensis comp27893_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM6-66_89.0-ORF6
seq602	>tsa-GCNR01014852.1 (REVERSE SENSE) TSA: Corchorus capsularis unigene_S3_14862 transcribed RNA sequence-table4-Narnaviridae-HMM140-276_49.0-ORF21
seq603	>tsa-GEUI01076031.1 TSA: Cyclocarya paliurus c59683_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM2-83_75.0-ORF4
seq604	>tsa-GFHX01044483.1 (REVERSE SENSE) TSA: Dactylorhiza fuchsii fB1855_comp175534_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM51-121_57.0-ORF11
seq605	>tsa-GAJH01060946.1 TSA: Elaeis guineensis isotig61023 transcribed RNA sequence-table4-Narnaviridae-HMM83-204_58.0-ORF7
seq606	>tsa-GEOE01185259.1 (REVERSE SENSE) TSA: Enteucha acetosae TR132044-c0_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM4-79_94.0-ORF9
seq607	>tsa-GEOE01188475.1 (REVERSE SENSE) TSA: Enteucha acetosae TR136297-c0_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM11-189_93.0-ORF15
seq608	>tsa-GDAB01024330.1 TSA: Gentiana rigescens comp57468_c0 transcribed RNA sequence-table4-Narnaviridae-HMM28-93_69.0-ORF8
seq609	>tsa-HAGH01178560.1 (REVERSE SENSE) TSA: Geranium robertianum, contig Grob_comp63675_c0_seq1, transcribed RNA sequence-table4-Narnaviridae-HMM22-116_78.0-ORF24
seq610	>tsa-GDBL01103158.1 (REVERSE SENSE) TSA: Gerbera hybrid cultivar comp62704_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM19-98_77.0-ORF12
seq611	>tsa-GALV01061718.1 TSA: Gossypium hirsutum Tm1_Mira454_Contig_8523 transcribed RNA sequence-table4-Narnaviridae-HMM86-229_57.0-ORF20
seq612	>tsa-GFIJ01087890.1 (REVERSE SENSE) TSA: Gossypium hirsutum Unigene46415_Mix transcribed RNA sequence-table4-Narnaviridae-HMM3-101_95.0-ORF9
seq613	>tsa-GEZJ01008346.1 (REVERSE SENSE) TSA: Gracilaria chilensis GChilensis_contig_0008363 transcribed RNA sequence-table4-Narnaviridae-HMM2-77_97.0-ORF10
seq614	>tsa-GEZJ01010317.1 (REVERSE SENSE) TSA: Gracilaria chilensis GChilensis_contig_0010340 transcribed RNA sequence-table4-Narnaviridae-HMM3-69_92.0-ORF8
seq615	>tsa-GBRI01037652.1 (REVERSE SENSE) TSA: Litchi chinensis Unigene0037654 transcribed RNA sequence-table4-Narnaviridae-HMM12-86_78.0-ORF10
seq616	>tsa-GENV01007716.1 TSA: Mucuna pruriens MP07813 transcribed RNA sequence-table4-Narnaviridae-HMM25-61_50.0-ORF4
seq617	>tsa-GEFV01041954.1 TSA: Paulownia tomentosa comp49822_c0_seq1 transcribed RNA sequence-table4-Narnaviridae-HMM74-141_46.0-ORF16
seq618	>tsa-GEFV01041955.1 TSA: Paulownia tomentosa comp49822_c0_seq2 transcribed RNA sequence-table4-Narnaviridae-HMM74-141_46.0-ORF15
seq619	>tsa-GEUO01031832.1 (REVERSE SENSE) TSA: Podosphaera xanthii Pfusca_clean_c20233_mira transcribed RNA sequence-table4-Narnaviridae-HMM6-112_94.0-ORF11
seq620	>tsa-HAFA01134542.1 TSA: Proasellus ibericus, contig comp910612_c0_seq1, transcribed RNA sequence-table4-Narnaviridae-HMM7-94_92.0-ORF3
seq621	>tsa-HAFC01000420.1 TSA: Proasellus karamani, contig comp457_c1_seq1, transcribed RNA sequence-table4-Narnaviridae-HMM2-97_97.0-ORF5
seq622	>tsa-GBXL01023679.1 (REVERSE SENSE) TSA: Pyrus communis MitchamPear_201207_023683 transcribed RNA sequence-table4-Narnaviridae-HMM30-98_54.0-ORF26
seq623	>tsa-GBXL01028900.1 (REVERSE SENSE) TSA: Pyrus communis MitchamPear_201207_028906 transcribed RNA sequence-table4-Narnaviridae-HMM30-98_54.0-ORF24
seq624	>tsa-GEYW01055082.1 TSA: Silene subconica c39068_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM5-85_93.0-ORF3
seq625	>tsa-GDZW01015285.1 (REVERSE SENSE) TSA: Solanum chacoense comp1710_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM353-602_30.0-ORF65
seq626	>tsa-GDZX01035943.1 (REVERSE SENSE) TSA: Solanum chacoense isotig33982 transcribed RNA sequence-table6-Narnaviridae-HMM353-602_29.0-ORF66
seq627	>tsa-GEDG01002811.1 TSA: Solanum chacoense ScOT_03032 transcribed RNA sequence-table6-Narnaviridae-HMM353-602_29.0-ORF30
seq628	>tsa-GCHT01010490.1 (REVERSE SENSE) TSA: Solanum commersonii comp34245_c0_seq1 transcribed RNA sequence-table6-Narnaviridae-HMM27-103_43.0-ORF12
seq629	>tsa-GCHT01037742.1 TSA: Solanum commersonii comp45566_c0_seq3 transcribed RNA sequence-table4-Narnaviridae-HMM1-170_76.0-ORF10
seq630	>tsa-GBGZ01037593.1 (REVERSE SENSE) TSA: Solanum melongena Contig39626 transcribed RNA sequence-table6-Narnaviridae-HMM69-196_59.0-ORF28
seq631	>tsa-GBGZ01037594.1 (REVERSE SENSE) TSA: Solanum melongena Contig39627 transcribed RNA sequence-table6-Narnaviridae-HMM69-196_59.0-ORF29
seq632	>tsa-GEZT01037515.1 (REVERSE SENSE) TSA: Solanum prinophyllum c22937_g1_i1 transcribed RNA sequence-table4-Narnaviridae-HMM1-74_37.0-ORF22
seq633	>tsa-GEZT01040697.1 (REVERSE SENSE) TSA: Solanum prinophyllum c23503_g2_i1 transcribed RNA sequence-table4-Narnaviridae-HMM45-103_47.0-ORF25
seq634	>tsa-GEZT01074266.1 TSA: Solanum prinophyllum c26521_g13_i1 transcribed RNA sequence-table6-Narnaviridae-HMM61-195_68.0-ORF8
